case name,SolarWind_PGPbatt
system reliability,-1.0
CO2 price ($/kgCO2),0.0
norm. demand to 1,True
demand file,US_demand_unnormalized_FOURTY_YEARS_FROM_FOUR_YEAR_LOOP.csv
mean demand (kW),1.0
fixed cost natgas ($/kW/h),0.0118
var cost natgas ($/kW/h),0.039
fixed cost solar ($/kW/h),0.0219
var cost solar ($/kW/h),1e-08
solar file,US_capacity_solar_threshold26_unnormalized.csv
cap factor solar (-),0.2749382517596233
fixed cost wind ($/kW/h),0.0206
var cost wind ($/kW/h),1.05e-08
wind file,US_capacity_wind_threshold26_unnormalized.csv
cap factor wind (-),0.363571204277968
fixed cost storage ($/kWh/h),0.00424
var cost storage ($/kWh/h),-1.0
storage charging efficiency,0.9
storage charging time (h),6.008
storage decay rate (1/h)),1.14e-06
fixed cost pgp storage ($/kWh/h),1.47e-06
fixed cost to pgp storage ($/kW/h),0.0148
fixed cost from pgp storage ($/kW/h),0.063
var cost to pgp storage ($/kW/h),0.0
var cost from pgp storage ($/kW/h),0.0
pgp storage charging efficiency,0.49
pgp storage decay rate (1/h)),1.14e-08
problem status,optimal
system cost ($ or $/kWh),0.05687721715762774
capacity natgas (kW),1.5150184031887943
dispatch natgas (kW),1.0
capacity solar (kW),0.0
dispatch solar (kW),0.0
curtailment solar (kW),0.0
capacity wind (kW),0.0
dispatch wind (kW),0.0
curtailment wind (kW),0.0
capacity storage (kW),0.0
energy storage (kW),0.0
dispatch to storage (kW),0.0
dispatch from storage (kW),0.0
capacity pgp storage (kW),0.0
capacity to pgp storage (kW),0.0
capacity from pgp storage (kW),0.0
energy pgp storage (kW),0.0
dispatch to pgp storage (kW),0.0
dispatch from pgp storage (kW),0.0
